devicename,kernelname,samples,channels,elements,beams,integration,precision,reads,writes,avg_time,min_time,max_time,avg_throughput,min_throughput,max_throughput,avg_bandwidth,min_bandwidth,max_bandwidth,percentage_avg_bandwidth,percentage_min_bandwidth,percentage_max_bandwidth,input_avg_bandwidth,input_min_bandwidth,input_max_bandwidth,output_avg_bandwidth,output_min_bandwidth,output_max_bandwidth
GeForce RTX 3090,StokesI,4096,32,16,32,1,half,16908288,8388608,0.256093,0.254496,0.273888,6290.7,5880.55,6328.64,98.8042,92.3622,99.4,21.1098,19.7335,21.2371,65.5281,61.2558,65.9233,32.7641,30.6279,32.9616
GeForce RTX 3090,StokesI,4096,32,16,64,1,half,17039360,16777216,0.492134,0.485408,0.508736,6546.43,6331.82,6636.12,68.7247,66.4718,69.6663,14.6833,14.2019,14.8844,34.096,32.9782,34.5631,34.096,32.9782,34.5631
GeForce RTX 3090,StokesI,4096,32,16,96,1,half,17170432,25165824,0.720438,0.718816,0.734208,6706.93,6581.02,6721.94,58.7657,57.6625,58.8972,12.5555,12.3198,12.5836,23.288,22.8508,23.3401,34.9319,34.2761,35.0101
GeForce RTX 3090,StokesI,4096,32,16,128,1,half,17301504,33554432,0.956077,0.951392,0.98976,6738.9,6509.1,6771.6,53.1961,51.3821,53.4542,11.3655,10.978,11.4207,17.5492,16.9508,17.6344,35.0985,33.9016,35.2688
GeForce RTX 3090,StokesI,4096,32,16,160,1,half,17432576,41943040,1.18324,1.18138,1.19802,6805.98,6722,6816.68,50.1808,49.5616,50.2597,10.7213,10.589,10.7382,14.1791,14.0042,14.2014,35.4478,35.0104,35.5035
GeForce RTX 3090,StokesI,4096,32,16,192,1,half,17563648,50331648,1.41641,1.41462,1.43114,6822.69,6752.45,6831.27,47.935,47.4415,47.9953,10.2415,10.136,10.2544,11.8449,11.723,11.8598,35.5348,35.169,35.5795
GeForce RTX 3090,StokesI,4096,32,16,224,1,half,17694720,58720256,1.66307,1.64659,1.68346,6779.51,6697.11,6847.04,45.9502,45.3917,46.408,9.81741,9.69809,9.91521,10.0885,9.96594,10.1891,35.3099,34.8808,35.6617
GeForce RTX 3090,StokesI,4096,32,16,256,1,half,17825792,67108864,1.89323,1.87466,1.91878,6806.11,6715.14,6873.21,44.8645,44.2648,45.3068,9.58544,9.45733,9.67995,8.86212,8.74367,8.94949,35.4485,34.9747,35.798
GeForce RTX 3090,StokesI,4096,32,16,288,1,half,17956864,75497472,2.08734,2.07178,2.09683,6944.66,6913.05,6996.66,44.7731,44.5693,45.1083,9.56591,9.52238,9.63754,8.0378,8.00122,8.09799,36.1701,36.0055,36.4409
GeForce RTX 3090,StokesI,4096,32,16,320,1,half,18087936,83886080,2.30255,2.30093,2.31741,6994.94,6950.06,6999.84,44.2876,44.0035,44.3186,9.46219,9.40149,9.46883,7.28639,7.23965,7.2915,36.432,36.1982,36.4575
GeForce RTX 3090,StokesI,4096,32,16,352,1,half,18219008,92274688,2.53121,2.52877,2.54579,6999.34,6959.23,7006.08,43.6526,43.4025,43.6947,9.32653,9.27308,9.33551,6.62816,6.59018,6.63454,36.4549,36.246,36.49
