devicename,kernelname,samples,channels,elements,beams,integration,precision,reads,writes,avg_time,min_time,max_time,avg_throughput,min_throughput,max_throughput,avg_bandwidth,min_bandwidth,max_bandwidth,percentage_avg_bandwidth,percentage_min_bandwidth,percentage_max_bandwidth,input_avg_bandwidth,input_min_bandwidth,input_max_bandwidth,output_avg_bandwidth,output_min_bandwidth,output_max_bandwidth
GeForce RTX 3090,Unpacker,4096,32,16,32,1,half,134217728,16777216,0.001592,0.001472,0.002112,2656.71,1985.94,2849.39,95641.4,71493.8,102578,20434.1,15274.9,21916.1,85014.6,63550.1,91180.5,10626.8,7943.76,11397.6
GeForce RTX 3090,Unpacker,4096,32,16,64,1,half,134217728,16777216,0.0014992,0.001472,0.001728,2804.15,2427.26,2849.39,100949,87381.3,102578,21568.1,18669.3,21916.1,89732.7,77672.3,91180.5,11216.6,9709.04,11397.6
GeForce RTX 3090,Unpacker,4096,32,16,96,1,half,134217728,16777216,0.0015072,0.00144,0.001728,2790.31,2427.26,2912.71,100451,87381.3,104858,21461.8,18669.3,22403.2,89290,77672.3,93206.8,11161.3,9709.04,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,128,1,half,134217728,16777216,0.0015856,0.001472,0.001984,2663.94,2114.06,2849.39,95902,76106.3,102578,20489.8,16260.4,21916.1,85246.2,67650.1,91180.5,10655.8,8456.26,11397.6
GeForce RTX 3090,Unpacker,4096,32,16,160,1,half,134217728,16777216,0.0014944,0.00144,0.001728,2813.78,2427.26,2912.71,101296,87381.3,104858,21642.2,18669.3,22403.2,90040.9,77672.3,93206.8,11255.1,9709.04,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,192,1,half,134217728,16777216,0.0015088,0.00144,0.001824,2791.3,2299.51,2912.71,100487,82782.3,104858,21469.3,17686.7,22403.2,89321.5,73584.3,93206.8,11165.2,9198.04,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,224,1,half,134217728,16777216,0.0014976,0.00144,0.001696,2806.83,2473.06,2912.71,101046,89030,104858,21588.8,19021.6,22403.2,89818.5,79137.8,93206.8,11227.3,9892.23,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,256,1,half,134217728,16777216,0.0014912,0.00144,0.001728,2817.48,2427.26,2912.71,101429,87381.3,104858,21670.7,18669.3,22403.2,90159.5,77672.3,93206.8,11269.9,9709.04,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,288,1,half,134217728,16777216,0.00148,0.001408,0.00176,2840.19,2383.13,2978.91,102247,85792.6,107241,21845.4,18329.9,22912.3,90886.1,76260.1,95325.1,11360.8,9532.51,11915.6
GeForce RTX 3090,Unpacker,4096,32,16,320,1,half,134217728,16777216,0.0015168,0.00144,0.001824,2776.55,2299.51,2912.71,99955.7,82782.3,104858,21355.9,17686.7,22403.2,88849.5,73584.3,93206.8,11106.2,9198.04,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,352,1,half,134217728,16777216,0.0014976,0.001408,0.001728,2813,2427.26,2978.91,101268,87381.3,107241,21636.2,18669.3,22912.3,90015.9,77672.3,95325.1,11252,9709.04,11915.6
GeForce RTX 3090,Unpacker,4096,32,16,384,1,half,134217728,16777216,0.0015104,0.00144,0.001792,2784.84,2340.57,2912.71,100254,84260.6,104858,21419.6,18002.5,22403.2,89114.8,74898.3,93206.8,11139.3,9362.29,11650.8
GeForce RTX 3090,Unpacker,4096,32,16,416,1,half,134217728,16777216,0.0014592,0.001408,0.001792,2882.97,2340.57,2978.91,103787,84260.6,107241,22174.4,18002.5,22912.3,92255.1,74898.3,95325.1,11531.9,9362.29,11915.6
GeForce RTX 3090,Unpacker,4096,32,16,448,1,half,134217728,16777216,0.0014272,0.001344,0.00176,2958.32,2383.13,3120.76,106500,85792.6,112347,22754,18329.9,24003.4,94666.2,76260.1,99864.4,11833.3,9532.51,12483
GeForce RTX 3090,Unpacker,4096,32,16,480,1,half,134217728,16777216,0.0014592,0.001344,0.001728,2885.98,2427.26,3120.76,103895,87381.3,112347,22197.6,18669.3,24003.4,92351.3,77672.3,99864.4,11543.9,9709.04,12483
GeForce RTX 3090,Unpacker,4096,32,16,512,1,half,134217728,16777216,0.0014304,0.001376,0.001664,2938.98,2520.62,3048.19,105803,90742.2,109735,22605.2,19387.4,23445.2,94047.4,80659.7,97542,11755.9,10082.5,12192.7
GeForce RTX 3090,Unpacker,4096,32,16,544,1,half,134217728,16777216,0.0014288,0.001344,0.001696,2942.51,2473.06,3120.76,105930,89030,112347,22632.4,19021.6,24003.4,94160.3,79137.8,99864.4,11770,9892.23,12483
GeForce RTX 3090,Unpacker,4096,32,16,576,1,half,134217728,16777216,0.001408,0.001344,0.001536,2984.02,2730.67,3120.76,107425,98304,112347,22951.7,21003,24003.4,95488.7,87381.3,99864.4,11936.1,10922.7,12483
