devicename,kernelname,samples,channels,elements,beams,integration,precision,reads,writes,avg_time,min_time,max_time,avg_throughput,min_throughput,max_throughput,avg_bandwidth,min_bandwidth,max_bandwidth,percentage_avg_bandwidth,percentage_min_bandwidth,percentage_max_bandwidth,input_avg_bandwidth,input_min_bandwidth,input_max_bandwidth,output_avg_bandwidth,output_min_bandwidth,output_max_bandwidth
GeForce RTX 3090,Voltage,4096,32,16,32,1,half,16908288,33554432,0.229893,0.228576,0.231712,4670.68,4633.95,4697.53,219.508,217.782,220.77,46.8987,46.5299,47.1682,72.9794,72.4055,73.3988,145.959,144.811,146.798
GeForce RTX 3090,Voltage,4096,32,16,64,1,half,17039360,67108864,0.450699,0.446112,0.454336,4764.96,4726.64,4813.78,186.713,185.211,188.626,39.8918,39.571,40.3005,37.2263,36.9269,37.6076,148.905,147.708,150.431
GeForce RTX 3090,Voltage,4096,32,16,96,1,half,17170432,100663296,0.64975,0.647648,0.65184,4957.65,4941.74,4973.73,181.353,180.771,181.941,38.7466,38.6223,38.8723,25.8211,25.7382,25.9048,154.927,154.429,155.429
GeForce RTX 3090,Voltage,4096,32,16,128,1,half,17301504,134217728,0.876133,0.872576,0.882592,4902.24,4866.31,4922.17,172.943,171.675,173.646,36.9498,36.679,37.1,19.1494,19.009,19.2272,153.195,152.072,153.818
GeForce RTX 3090,Voltage,4096,32,16,160,1,half,17432576,167772160,1.06598,1.06134,1.07155,5036.44,5010.22,5058.41,173.742,172.838,174.5,37.1206,36.9274,37.2825,15.7389,15.6569,15.8075,157.389,156.569,158.075
GeForce RTX 3090,Voltage,4096,32,16,192,1,half,17563648,201326592,1.28827,1.28118,1.29389,5000.9,4979.14,5028.51,169.912,169.172,170.85,36.3022,36.1443,36.5027,13.0232,12.9665,13.0951,156.278,155.598,157.141
GeForce RTX 3090,Voltage,4096,32,16,224,1,half,17694720,234881024,1.48666,1.47376,1.49622,5055.88,5023.44,5100.01,169.899,168.809,171.382,36.2995,36.0666,36.6163,11.2855,11.213,11.384,157.996,156.983,159.375
GeForce RTX 3090,Voltage,4096,32,16,256,1,half,17825792,268435456,1.68222,1.66544,1.69296,5106.53,5073.91,5157.76,170.176,169.089,171.883,36.3587,36.1265,36.7234,9.97369,9.90999,10.0737,159.579,158.56,161.18
GeForce RTX 3090,Voltage,4096,32,16,288,1,half,17956864,301989888,1.85703,1.84266,1.86563,5204,5179.84,5244.43,172.295,171.495,173.633,36.8114,36.6405,37.0974,9.03471,8.99278,9.10491,162.625,161.87,163.888
GeForce RTX 3090,Voltage,4096,32,16,320,1,half,18087936,335544320,2.05481,2.05306,2.05942,5225.5,5213.8,5229.97,172.1,171.714,172.247,36.7697,36.6873,36.8011,8.16485,8.14656,8.17183,163.297,162.931,163.437
GeForce RTX 3090,Voltage,4096,32,16,352,1,half,18219008,369098752,2.25514,2.25184,2.25901,5237.45,5228.47,5245.11,171.749,171.455,172.001,36.6948,36.6319,36.7485,7.43956,7.42681,7.45045,163.67,163.39,163.91
GeForce RTX 3090,Voltage,4096,32,16,384,1,half,18350080,402653184,2.4425,2.32422,2.46845,5277.51,5219.84,5543.74,172.438,170.554,181.137,36.842,36.4394,38.7005,6.87175,6.79667,7.21842,164.922,163.12,173.242
GeForce RTX 3090,Voltage,4096,32,16,416,1,half,18481152,436207616,2.50832,2.50576,2.51286,5564.93,5554.87,5570.62,181.272,180.944,181.457,38.7294,38.6594,38.769,6.68862,6.67653,6.69546,173.904,173.59,174.082
GeForce RTX 3090,Voltage,4096,32,16,448,1,half,18612224,469762048,2.58,2.53299,2.62218,5827.46,5732.79,5934.64,189.323,186.248,192.805,40.4496,39.7924,41.1935,6.50387,6.3982,6.62348,182.108,179.15,185.457
GeForce RTX 3090,Voltage,4096,32,16,480,1,half,18743296,503316480,2.77633,2.72048,2.83091,5802.51,5689.38,5920.33,188.081,184.414,191.9,40.1842,39.4007,41,6.04428,5.92643,6.16701,181.329,177.793,185.01
GeForce RTX 3090,Voltage,4096,32,16,512,1,half,18874368,536870912,2.94331,2.87648,2.98819,5837.97,5749.25,5972.53,188.85,185.98,193.203,40.3485,39.7353,41.2785,5.70115,5.6145,5.83255,182.437,179.664,186.642
GeForce RTX 3090,Voltage,4096,32,16,544,1,half,19005440,570425344,3.12956,3.07238,3.17962,5833.37,5740.82,5941.19,188.367,185.378,191.848,40.2451,39.6066,40.989,5.36156,5.27649,5.46065,182.293,179.401,185.662
GeForce RTX 3090,Voltage,4096,32,16,576,1,half,19136512,603979776,3.30601,3.24138,3.36438,5847.17,5744.69,5962.7,188.513,185.21,192.238,40.2765,39.5706,41.0723,5.07566,4.98671,5.17595,182.724,179.522,186.334
GeForce RTX 3090,Voltage,4096,32,16,608,1,half,19267584,637534208,3.48317,3.42346,3.52979,5857.62,5779.69,5959.21,188.583,186.074,191.853,40.2913,39.7553,40.9901,4.81712,4.75303,4.90067,183.051,180.615,186.225
GeForce RTX 3090,Voltage,4096,32,16,640,1,half,19398656,671088640,3.68697,3.61136,3.75139,5825.26,5724.5,5946.47,187.301,184.062,191.199,40.0176,39.3254,40.8502,4.55098,4.47226,4.64568,182.039,178.891,185.827
GeForce RTX 3090,Voltage,4096,32,16,672,1,half,19529728,704643072,3.85742,3.79533,3.89645,5845.95,5786.96,5941.14,187.749,185.855,190.806,40.1132,39.7085,40.7664,4.34967,4.30577,4.42049,182.686,180.842,185.661
GeForce RTX 3090,Voltage,4096,32,16,704,1,half,19660800,738197504,4.04293,3.95955,4.11139,5843.76,5745.58,5965.91,187.481,184.331,191.4,40.056,39.383,40.8932,4.1504,4.08067,4.23715,182.618,179.549,186.435
